1;Константин;Николаев;38;
2;Матвей;Смирнов;27;
3;Денис;Морозов;67;
4;Матвей;Андреев;30;
5;Тимур;Новиков;36;
6;Тимур;Новиков;30;
7;Павел;Фёдоров;65;
8;Алексей;Егоров;55;
9;Владимир;Захаров;52;
10;Владимир;Андреев;45;
11;Константин;Степанов;40;
12;Егор;Лебедев;71;
13;Егор;Орлов;64;
14;Матвей;Козлов;68;
15;Иван;Макаров;31;
16;Егор;Смирнов;18;
17;Константин;Волков;28;
18;Матвей;Семенов;52;
19;Роман;Попов;35;
20;Максим;Захаров;73;
21;Игорь;Иванов;64;
22;Дмитрий;Васильев;29;
23;Александр;Попов;50;
24;Иван;Лебедев;70;
25;Арсений;Степанов;73;
26;Павел;Смирнов;60;
27;Егор;Соколов;47;
28;Евгений;Захаров;27;
29;Владимир;Козлов;22;
30;Максим;Николаев;45;
31;Владимир;Захаров;63;
32;Андрей;Андреев;32;
33;Алексей;Смирнов;73;
34;Никита;Морозов;60;
35;Иван;Павлов;45;
36;Матвей;Козлов;47;
37;Руслан;Павлов;40;
38;Олег;Новиков;53;
39;Алексей;Лебедев;18;
40;Владислав;Михайлов;26;
41;Максим;Орлов;46;
42;Артём;Орлов;23;
43;Евгений;Николаев;55;
44;Роман;Степанов;25;
45;Игорь;Смирнов;55;
46;Максим;Смирнов;31;
47;Андрей;Смирнов;32;
48;Константин;Алексеев;33;
49;Иван;Орлов;45;
50;Руслан;Михайлов;33;
51;Алексей;Степанов;63;
52;Владислав;Волков;18;
53;Денис;Михайлов;72;
54;Игорь;Кузнецов;37;
55;Владислав;Попов;18;
56;Максим;Никитин;52;
57;Алексей;Захаров;30;
58;Никита;Морозов;48;
59;Сергей;Макаров;36;
60;Матвей;Никитин;74;
61;Марк;Семенов;56;
62;Владимир;Никитин;47;
63;Тимофей;Новиков;72;
64;Евгений;Фёдоров;42;
65;Павел;Петров;45;
66;Михаил;Семенов;18;
67;Никита;Николаев;57;
68;Иван;Николаев;40;
69;Михаил;Орлов;77;
70;Матвей;Николаев;26;
71;Евгений;Николаев;28;
72;Павел;Волков;42;
73;Денис;Орлов;21;
74;Роман;Николаев;40;
75;Матвей;Фёдоров;26;
76;Сергей;Петров;41;
77;Денис;Кузнецов;68;
78;Тимур;Волков;34;
79;Владимир;Фёдоров;61;
80;Руслан;Никитин;34;
81;Тимофей;Орлов;26;
82;Руслан;Попов;36;
83;Никита;Захаров;72;
84;Илья;Лебедев;49;
85;Владимир;Семенов;73;
86;Арсений;Михайлов;45;
87;Алексей;Орлов;19;
88;Илья;Морозов;18;
89;Роман;Егоров;76;
90;Владислав;Кузнецов;53;
91;Михаил;Захаров;26;
92;Михаил;Никитин;22;
93;Михаил;Васильев;66;
94;Игорь;Егоров;63;
95;Игорь;Алексеев;36;
96;Роман;Попов;61;
97;Александр;Соколов;65;
98;Владислав;Андреев;62;
99;Кирилл;Васильев;21;
100;Роман;Попов;29;
101;Арсений;Васильев;53;
102;Павел;Козлов;51;
103;Владислав;Павлов;32;
104;Олег;Попов;33;
105;Дмитрий;Смирнов;31;
106;Игорь;Попов;19;
107;Михаил;Петров;39;
108;Руслан;Смирнов;45;
109;Дмитрий;Николаев;56;
110;Иван;Лебедев;42;
111;Александр;Орлов;68;
112;Андрей;Смирнов;44;
113;Игорь;Петров;60;
114;Роман;Соколов;53;
115;Матвей;Михайлов;43;
116;Артём;Захаров;36;
117;Игорь;Макаров;31;
118;Владислав;Михайлов;63;
119;Владимир;Петров;38;
120;Андрей;Степанов;42;
121;Марк;Иванов;53;
122;Артём;Семенов;71;
123;Артём;Михайлов;58;
124;Илья;Соколов;63;
125;Алексей;Иванов;37;
126;Алексей;Волков;65;
127;Роман;Новиков;64;
128;Павел;Соколов;56;
129;Владислав;Лебедев;27;
130;Максим;Кузнецов;41;
131;Тимофей;Лебедев;70;
132;Илья;Макаров;54;
133;Сергей;Фёдоров;51;
134;Матвей;Семенов;42;
135;Владимир;Орлов;42;
136;Олег;Кузнецов;43;
137;Марк;Волков;29;
138;Евгений;Козлов;50;
139;Арсений;Степанов;25;
140;Михаил;Михайлов;40;
141;Олег;Кузнецов;30;
142;Максим;Петров;44;
143;Марк;Васильев;67;
144;Павел;Попов;61;
145;Никита;Никитин;70;
146;Сергей;Васильев;21;
147;Тимофей;Семенов;75;
148;Евгений;Иванов;59;
149;Дмитрий;Степанов;61;
150;Евгений;Захаров;50;
151;Игорь;Фёдоров;58;
152;Константин;Васильев;76;
153;Максим;Петров;26;
154;Матвей;Васильев;33;
155;Артём;Козлов;77;
156;Евгений;Алексеев;57;
157;Егор;Семенов;25;
158;Денис;Степанов;77;
159;Руслан;Орлов;66;
160;Артём;Иванов;63;
161;Александр;Никитин;48;
162;Максим;Никитин;42;
163;Илья;Смирнов;32;
164;Артём;Павлов;69;
165;Александр;Макаров;64;
166;Михаил;Волков;67;
167;Артём;Николаев;49;
168;Павел;Степанов;28;
169;Александр;Алексеев;29;
170;Марк;Михайлов;57;
171;Никита;Кузнецов;46;
172;Тимофей;Егоров;64;
173;Марк;Андреев;70;
174;Владислав;Волков;68;
175;Матвей;Егоров;57;
176;Игорь;Иванов;46;
177;Дмитрий;Николаев;32;
178;Игорь;Козлов;45;
179;Максим;Козлов;61;
180;Тимофей;Макаров;26;
181;Матвей;Иванов;20;
182;Руслан;Васильев;24;
183;Тимофей;Алексеев;58;
184;Денис;Алексеев;57;
185;Сергей;Петров;76;
186;Евгений;Петров;38;
187;Дмитрий;Волков;24;
188;Евгений;Иванов;54;
189;Дмитрий;Иванов;33;
190;Владимир;Соколов;74;
191;Владимир;Павлов;43;
192;Егор;Макаров;35;
193;Павел;Семенов;20;
194;Дмитрий;Волков;47;
195;Андрей;Козлов;59;
196;Руслан;Волков;42;
197;Никита;Николаев;67;
198;Игорь;Васильев;68;
199;Александр;Степанов;20;
200;Игорь;Михайлов;76;
201;Никита;Алексеев;54;
202;Марк;Васильев;48;
203;Руслан;Егоров;27;
204;Павел;Попов;56;
205;Тимур;Павлов;61;
206;Павел;Никитин;52;
207;Владислав;Кузнецов;29;
208;Илья;Иванов;44;
209;Матвей;Смирнов;28;
210;Олег;Орлов;20;
211;Тимофей;Смирнов;18;
212;Тимофей;Фёдоров;30;
213;Кирилл;Никитин;56;
214;Марк;Орлов;76;
215;Марк;Морозов;29;
216;Олег;Новиков;62;
217;Александр;Волков;51;
218;Евгений;Алексеев;39;
219;Руслан;Николаев;49;
220;Руслан;Соколов;67;
221;Кирилл;Алексеев;58;
222;Алексей;Волков;49;
223;Илья;Петров;28;
224;Игорь;Михайлов;77;
225;Константин;Попов;76;
226;Игорь;Степанов;77;
227;Дмитрий;Павлов;69;
228;Александр;Орлов;43;
229;Евгений;Лебедев;39;
230;Егор;Лебедев;21;
231;Кирилл;Смирнов;58;
232;Иван;Семенов;61;
233;Алексей;Фёдоров;66;
234;Артём;Кузнецов;53;
235;Кирилл;Васильев;31;
236;Артём;Андреев;18;
237;Максим;Волков;56;
238;Александр;Алексеев;46;
239;Игорь;Егоров;51;
240;Матвей;Николаев;53;
241;Арсений;Фёдоров;64;
242;Матвей;Лебедев;76;
243;Дмитрий;Захаров;36;
244;Руслан;Михайлов;43;
245;Роман;Кузнецов;29;
246;Арсений;Соколов;39;
247;Михаил;Смирнов;50;
248;Михаил;Степанов;46;
249;Роман;Макаров;43;
250;Денис;Смирнов;38;
251;Егор;Смирнов;66;
252;Артём;Волков;44;
253;Евгений;Семенов;40;
254;Роман;Иванов;77;
255;Павел;Орлов;48;
256;Владислав;Козлов;34;
257;Олег;Алексеев;53;
258;Владимир;Лебедев;44;
259;Сергей;Петров;46;
260;Михаил;Козлов;51;
261;Олег;Иванов;40;
262;Никита;Морозов;48;
263;Тимофей;Николаев;24;
264;Никита;Орлов;56;
265;Константин;Никитин;57;
266;Роман;Николаев;53;
267;Александр;Лебедев;21;
268;Владислав;Михайлов;72;
269;Дмитрий;Кузнецов;25;
270;Егор;Павлов;20;
271;Андрей;Николаев;70;
272;Михаил;Николаев;42;
273;Арсений;Соколов;35;
274;Павел;Захаров;70;
275;Владислав;Захаров;41;
276;Роман;Никитин;71;
277;Владимир;Волков;27;
278;Александр;Андреев;70;
279;Владислав;Кузнецов;53;
280;Евгений;Иванов;66;
281;Евгений;Лебедев;45;
282;Кирилл;Михайлов;58;
283;Андрей;Егоров;43;
284;Илья;Семенов;60;
285;Владимир;Попов;28;
286;Матвей;Козлов;36;
287;Матвей;Попов;62;
288;Алексей;Николаев;61;
289;Максим;Соколов;41;
290;Алексей;Васильев;75;
291;Илья;Павлов;45;
292;Егор;Морозов;39;
293;Сергей;Орлов;62;
294;Марк;Семенов;46;
295;Матвей;Попов;52;
296;Максим;Соколов;35;
297;Алексей;Смирнов;26;
298;Олег;Смирнов;22;
299;Алексей;Николаев;72;
300;Кирилл;Фёдоров;64;
301;Егор;Васильев;23;
302;Александр;Попов;36;
303;Владимир;Волков;57;
304;Александр;Алексеев;66;
305;Руслан;Лебедев;68;
306;Илья;Павлов;56;
307;Тимофей;Кузнецов;75;
308;Денис;Захаров;57;
309;Алексей;Николаев;28;
310;Константин;Михайлов;53;
311;Михаил;Егоров;38;
312;Максим;Захаров;54;
313;Владимир;Соколов;20;
314;Алексей;Волков;26;
315;Никита;Лебедев;76;
316;Тимур;Лебедев;75;
